lascID,geneName,product,Group,aa_len,tx_len,gene_id,tx_name
LASC000004,LASC000004,hypothetical protein,NA,98,294,augustus_masked-000000F-processed-gene-0.6,augustus_masked-000000F-processed-gene-0.6-mRNA-1
LASC000006,LASC000006,hypothetical protein,NA,67,201,augustus_masked-000000F-processed-gene-0.7,augustus_masked-000000F-processed-gene-0.7-mRNA-1
LASC000219,dnttip1,Deoxynucleotidyltransferase terminal-interacting protein 1,NA,492,1476,augustus_masked-000000F-processed-gene-104.5,augustus_masked-000000F-processed-gene-104.5-mRNA-1
LASC000215,LASC000215,hypothetical protein,NA,217,651,augustus_masked-000000F-processed-gene-104.6,augustus_masked-000000F-processed-gene-104.6-mRNA-1
LASC000229,rdx_3,Protein roadkill,NA,345,1035,augustus_masked-000000F-processed-gene-107.3,augustus_masked-000000F-processed-gene-107.3-mRNA-1
LASC000234,LASC000234,hypothetical protein,NA,72,216,augustus_masked-000000F-processed-gene-108.5,augustus_masked-000000F-processed-gene-108.5-mRNA-1
LASC000022,faah2a_2,Fatty-acid amide hydrolase 2-A,NA,459,1377,augustus_masked-000000F-processed-gene-11.5,augustus_masked-000000F-processed-gene-11.5-mRNA-1
LASC000268,LASC000268,hypothetical protein,NA,84,252,augustus_masked-000000F-processed-gene-119.7,augustus_masked-000000F-processed-gene-119.7-mRNA-1
LASC000036,LASC000036,hypothetical protein,NA,625,1875,augustus_masked-000000F-processed-gene-28.2,augustus_masked-000000F-processed-gene-28.2-mRNA-1
LASC000049,LASC000049,hypothetical protein,NA,71,213,augustus_masked-000000F-processed-gene-38.1,augustus_masked-000000F-processed-gene-38.1-mRNA-1
LASC000065,dhrs11_11,Dehydrogenase/reductase SDR family member 11,NA,235,1309,augustus_masked-000000F-processed-gene-44.17,augustus_masked-000000F-processed-gene-44.17-mRNA-1
LASC000073,LASC000073,hypothetical protein,NA,119,357,augustus_masked-000000F-processed-gene-45.14,augustus_masked-000000F-processed-gene-45.14-mRNA-1
LASC000103,tbc1d20,TBC1 domain family member 20,NA,521,1563,augustus_masked-000000F-processed-gene-56.1,augustus_masked-000000F-processed-gene-56.1-mRNA-1
LASC000105,LASC000105,hypothetical protein,NA,148,444,augustus_masked-000000F-processed-gene-57.4,augustus_masked-000000F-processed-gene-57.4-mRNA-1
LASC000113,LASC000113,hypothetical protein,NA,136,408,augustus_masked-000000F-processed-gene-59.6,augustus_masked-000000F-processed-gene-59.6-mRNA-1
LASC000117,srsf12,Serine/arginine-rich splicing factor 12,NA,176,528,augustus_masked-000000F-processed-gene-60.2,augustus_masked-000000F-processed-gene-60.2-mRNA-1
LASC000119,iscw021855,Queuine tRNA-ribosyltransferase accessory subunit 2,NA,391,1173,augustus_masked-000000F-processed-gene-60.3,augustus_masked-000000F-processed-gene-60.3-mRNA-1
LASC000126,LASC000126,hypothetical protein,NA,112,336,augustus_masked-000000F-processed-gene-64.7,augustus_masked-000000F-processed-gene-64.7-mRNA-1
LASC000162,LASC000162,hypothetical protein,NA,967,5618,augustus_masked-000000F-processed-gene-85.1,augustus_masked-000000F-processed-gene-85.1-mRNA-1
LASC000200,LASC000200,hypothetical protein,NA,220,660,augustus_masked-000000F-processed-gene-97.13,augustus_masked-000000F-processed-gene-97.13-mRNA-1
LASC000347,LASC000347,hypothetical protein,NA,175,525,augustus_masked-000001F-processed-gene-28.3,augustus_masked-000001F-processed-gene-28.3-mRNA-1
LASC000348,LASC000348,hypothetical protein,NA,119,357,augustus_masked-000001F-processed-gene-28.4,augustus_masked-000001F-processed-gene-28.4-mRNA-1
LASC000349,LASC000349,hypothetical protein,NA,138,414,augustus_masked-000001F-processed-gene-28.5,augustus_masked-000001F-processed-gene-28.5-mRNA-1
LASC000356,LASC000356,hypothetical protein,NA,187,561,augustus_masked-000001F-processed-gene-29.7,augustus_masked-000001F-processed-gene-29.7-mRNA-1
LASC000358,pb,Homeotic protein proboscipedia,NA,812,14342,augustus_masked-000001F-processed-gene-32.3,augustus_masked-000001F-processed-gene-32.3-mRNA-1
LASC000364,LASC000364,hypothetical protein,NA,92,276,augustus_masked-000001F-processed-gene-33.9,augustus_masked-000001F-processed-gene-33.9-mRNA-1
LASC000368,LASC000368,hypothetical protein,NA,78,234,augustus_masked-000001F-processed-gene-35.11,augustus_masked-000001F-processed-gene-35.11-mRNA-1
LASC000275,LASC000275,hypothetical protein,NA,95,285,augustus_masked-000001F-processed-gene-4.7,augustus_masked-000001F-processed-gene-4.7-mRNA-1
LASC000399,LASC000399,hypothetical protein,NA,73,219,augustus_masked-000001F-processed-gene-51.4,augustus_masked-000001F-processed-gene-51.4-mRNA-1
