Orthogroup,ID,idv_id,DRR,species_x,Genus,Family,MaSp1,MaSp2,MaSp2B,MaSp3,MaSp3B,Spidroin,sp.,genus,species_y,ncbi_tax_id,wsc_lsid,type_of_web,sex,sampled_at,country,size,toughness,toughness_sd,young's_modulus,young's_modulus_sd,tensile_strength,tensile_strength_sd,strain_at_break,strain_at_break_sd,one_percent_weightloss,five_percent_weightloss,ten_percent_weightloss,crystallinity,birefringence,birefringence_sd,diameter,diameter_sd,water_content,supercontraction,supercontraction_sd,Cluster
Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geneName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1345-W1_S7,1345.0,DRR296993,sia,Yaginumia,Araneidae,16.953292022954177,14.133827003874291,7.721099188707185,6.85789327411486,6.5467809994194175,12.73987810623783,12.275560904261395,Yaginumia,sia,1112568.0,urn:lsid:nmbe.ch:spidersp:017156,Unknown,Female,2015-06-15,Japan,8.0,0.116,0.041,8.79,3.9,0.96,0.23,19.7,3.5,,,,15.0,65.0,10.3,1.19,0.08,,,,0.0
3,1793-W1_S4,1793.0,DRR297051,akirai,Cyrtarachne,Araneidae,18.42088534162368,18.00243185311558,8.539158811108031,8.146670061219924,7.509315999096762,14.093827024663698,13.822414861242796,Cyrtarachne,akirai,1463313.0,urn:lsid:nmbe.ch:spidersp:046730,Unknown,Female,2015-07-21,Japan,8.0,0.104,0.027,12.1,2.8,0.94,0.09,17.3,4.5,233.0,277.0,295.0,16.0,31.9,14.8,3.21,0.89,5.7,,,0.0
4,1894-W1_S12,1894.0,DRR296495,ishisawai,Araneus,Araneidae,15.28622366763066,16.95139655805932,10.220934897446725,12.675248278235465,6.459431618637297,10.918290628579848,14.197791362732668,Araneus,ishisawai,1112384.0,urn:lsid:nmbe.ch:spidersp:014949,Unknown,Female,2015-08-26,Japan,15.0,0.05,0.018,9.6,2.56,0.63,0.12,12.1,2.7,226.0,288.0,303.0,20.0,41.8,5.2,2.3,0.21,5.8,47.8,4.8,0.0
5,1974-W1_S8,1974.0,DRR297664,marmoreus,Araneus,Araneidae,15.007929958937416,16.132155993235898,10.4561092367484,12.890342639073667,6.5948306715527005,12.85418313510608,13.338418096834284,Araneus,marmoreus,336584.0,urn:lsid:nmbe.ch:spidersp:015005,Unknown,Female,2015-08-28,Japan,21.0,0.023,0.011,6.99,1.2,0.5,0.17,8.1,1.4,243.0,285.0,304.0,21.0,48.4,15.1,2.07,0.43,5.8,,,0.0
7,2057-W1_S19,2057.0,DRR297669,multipuncta,Herennia,Araneidae,18.57918572094761,18.057554122127232,7.80111318305758,15.971454827587976,15.97127517459975,8.67885085524386,12.830110596992196,Herennia,multipuncta,941795.0,urn:lsid:nmbe.ch:spidersp:039408,Unknown,Female,2015-09-07,Malaysia,,0.117,0.059,12.1,3.9,1.27,0.47,15.4,4.3,214.0,271.0,296.0,20.0,50.8,15.0,2.14,0.36,4.9,40.7,1.7,3.0
8,2059-W1_S13,2059.0,DRR297832,dehaani,Parawixia,Araneidae,16.851879191868896,16.996066717511596,8.46054169776413,12.01017840402054,6.727920454563199,12.750452104370671,14.778856723730232,Parawixia,dehaani,2337571.0,urn:lsid:nmbe.ch:spidersp:016893,Unknown,Unknown,2015-09-07,Malaysia,,0.09,0.055,8.0,3.8,0.94,0.44,18.3,5.8,228.0,279.0,309.0,18.0,38.0,15.5,3.33,0.63,9.0,50.4,7.9,0.0
9,2156-W1_S9,2156.0,DRR297651,malabarensis,Nephilengys,Araneidae,19.440509681319696,17.086510471873904,7.066089190457772,15.678618724948072,15.677070059097506,11.490676574335774,13.35524837069323,Nephilengys,malabarensis,593433.0,urn:lsid:nmbe.ch:spidersp:013993,Unknown,Unknown,2015-09-08,Malaysia,,0.109,0.025,12.3,3.3,1.12,0.11,17.6,4.7,219.0,287.0,309.0,23.0,49.5,22.8,1.57,0.32,2.9,23.9,7.5,3.0
10,2158-W1_S10,2158.0,DRR297122,-,Argiope,Araneidae,14.679418246418388,15.045349958063875,6.965784284662087,5.169925001442312,5.129283016944966,11.257712964690237,19.253065821951555,Argiope,sp. (OTU1080),2337307.0,,Unknown,Female,2015-09-08,Malaysia,,0.082,0.025,9.51,2.11,1.02,0.15,16.3,3.2,222.0,275.0,296.0,30.0,37.1,1.5,4.26,0.07,8.1,60.4,3.1,0.0
11,2174-W1_S20,2174.0,DRR296744,moluccensis,Cyrtophora,Araneidae,20.140165844282624,19.219364767649832,12.465636359538731,6.794415866350106,6.409390936137702,10.32170447109666,17.198757501048743,Cyrtophora,moluccensis,299645.0,urn:lsid:nmbe.ch:spidersp:015827,Unknown,Female,2015-09-08,Malaysia,,0.1,0.063,10.9,1.3,0.66,0.15,21.8,9.7,243.0,290.0,311.0,17.0,40.2,6.4,2.18,0.15,7.1,12.3,3.4,0.0
12,2214-W1_S13,2214.0,DRR296943,nautica,Neoscona,Araneidae,14.822874267021902,19.16068898544064,8.224001674198105,14.138366489128256,6.189824558880018,13.72728940970005,14.136256499194989,Neoscona,nautica,258338.0,urn:lsid:nmbe.ch:spidersp:016729,Unknown,Female,2015-09-13,Japan,11.0,0.203,0.032,9.4,2.73,1.34,0.17,29.2,2.1,205.0,261.0,289.0,28.0,41.3,5.6,1.18,0.04,5.2,,,5.0
13,2566-W1_S4,2566.0,DRR297813,theisi,Neoscona,Araneidae,15.347833695724916,16.24427908608458,7.169925001442312,13.154792483270231,5.930737337562887,14.9875252374004,14.60213981182111,Neoscona,theisi,1112448.0,urn:lsid:nmbe.ch:spidersp:016763,Unknown,Female,2015-10-14,Japan,7.0,0.076,0.073,6.68,1.2,0.76,0.25,16.0,3.7,197.0,263.0,298.0,18.0,36.8,5.8,1.19,0.06,5.1,,,0.0
15,2658-W1_S21,2658.0,DRR297180,columnaris,Poltys,Araneidae,16.49256928700602,18.387091852213445,9.083630902073825,8.019856837962774,7.672425341971495,13.139416621673892,16.57341848685647,Poltys,columnaris,2337615.0,urn:lsid:nmbe.ch:spidersp:016947,Unknown,Female,2015-10-20,Japan,6.0,0.292,0.02,19.1,5.6,2.4,0.05,20.9,1.1,247.0,292.0,314.0,27.0,58.8,6.4,3.6,0.13,7.8,41.9,10.1,5.0
16,2664-W1_S15,2664.0,DRR297356,ikomosanensis,Cyrtophora,Araneidae,19.22126018309456,18.782839147060383,8.447687502053281,6.672425341971495,6.426264754702098,11.181304954712088,16.358754644452866,Cyrtophora,ikomosanensis,891969.0,urn:lsid:nmbe.ch:spidersp:043614,Unknown,Female,2015-10-21,Japan,19.0,0.198,0.043,16.6,5.3,1.18,0.27,25.0,4.0,259.0,291.0,307.0,15.0,28.4,3.9,2.07,0.16,3.6,10.6,1.2,0.0
20,30-W22_S17,30.0,DRR296742,brevispina,Thelacantha,Araneidae,11.22485488393184,13.240630319593905,12.52783256555479,6.409391004029232,6.35755207499345,7.857231705331634,11.400995953534691,Thelacantha,brevispina,1508453.0,urn:lsid:nmbe.ch:spidersp:017085,Unknown,Female,2014-12-08,Japan,,0.09,0.013,3.15,0.7,0.52,0.08,36.1,7.5,,,,,18.7,2.8,4.63,0.48,,,,4.0
21,316-W1_S6,316.0,DRR296524,pinguis,Araneus,Araneidae,14.409919178252911,16.53445301402352,7.221302517368585,12.784237219619628,6.169925001442312,14.559504898900489,13.52300121784162,Araneus,pinguis,2337295.0,urn:lsid:nmbe.ch:spidersp:015114,Unknown,Female,2014-10-09,Japan,,0.121,0.036,4.2,0.7,0.99,0.47,53.2,3.7,227.0,286.0,306.0,23.0,38.1,11.3,2.54,0.25,7.7,,,0.0
22,324-W1_S3,324.0,DRR296820,yaginumai,Araniella,Araneidae,16.872978622151134,15.62010383713046,6.984868472728633,14.6049620019352,6.190660091861382,11.980054516962726,14.656801183617606,Araniella,yaginumai,1112389.0,urn:lsid:nmbe.ch:spidersp:038307,Unknown,Unknown,2014-10-09,Japan,,0.161,0.078,11.6,3.8,1.2,0.49,24.5,3.6,,,,,51.5,12.7,1.2,0.08,,,,5.0
23,327-W1_S13,327.0,DRR297052,mellotteei,Neoscona,Araneidae,15.789062351491948,16.62744605792106,6.442943495848728,13.192839896442836,5.634268567445277,10.913983146129905,14.925490427922874,Neoscona,mellotteei,1968900.0,urn:lsid:nmbe.ch:spidersp:016721,Unknown,Unknown,2014-10-09,Japan,,0.134,0.06,5.21,2.1,0.87,0.25,27.4,11.2,,,,,41.5,6.8,1.23,0.06,,,,5.0
24,329-W1_S5,329.0,DRR296490,sia,Yaginumia,Araneidae,9.290345849284956,6.942032537767712,4.392317422778761,4.523561976619369,4.459431640134306,7.475733430966398,6.992062078140899,Yaginumia,sia,1112568.0,urn:lsid:nmbe.ch:spidersp:017156,Unknown,Unknown,2014-10-09,Japan,,0.086,0.013,5.48,1.2,0.65,0.14,22.5,5.0,216.0,278.0,301.0,31.0,41.7,13.1,1.91,0.21,4.1,,,4.0
25,329-W2_S6,329.0,DRR296798,sia,Yaginumia,Araneidae,14.906668743436793,13.5212289812242,4.807354922057604,4.392326353720417,3.906890595608519,9.80310707018612,9.284277247831149,Yaginumia,sia,1112568.0,urn:lsid:nmbe.ch:spidersp:017156,Unknown,Unknown,2014-10-09,Japan,,0.086,0.013,5.48,1.2,0.65,0.14,22.5,5.0,216.0,278.0,301.0,31.0,41.7,13.1,1.91,0.21,4.1,,,0.0
26,3306-W1_S13,3306.0,DRR296560,exanthematica,Cyrtophora,Araneidae,20.11649201793892,20.024947929083535,8.150046543255552,7.807354922057604,6.569855608330948,8.562829316612785,16.36615312788532,Cyrtophora,exanthematica,1538126.0,urn:lsid:nmbe.ch:spidersp:015813,Unknown,Female,2016-04-15,Japan,10.0,0.074,0.04,7.1,2.82,0.81,0.29,17.0,3.2,261.0,297.0,314.0,20.0,42.1,4.1,3.19,0.19,4.8,11.2,6.4,0.0
