Orthogroup,ID,idv_id,DRR,species_x,Genus,Family,OG0000264,OG0000282,OG0003351,OG0004409,OG0004717,OG0007747,OG0008243,OG0008312,OG0008607,OG0009194,OG0009245,OG0009741,OG0010802,family,genus,species_y,ncbi_tax_id,wsc_lsid,type_of_web,sex,sampled_at,country,size,toughness,toughness_sd,young's_modulus,young's_modulus_sd,tensile_strength,tensile_strength_sd,strain_at_break,strain_at_break_sd,one_percent_weightloss,five_percent_weightloss,ten_percent_weightloss,crystallinity,birefringence,birefringence_sd,diameter,diameter_sd,water_content,supercontraction,supercontraction_sd
Group,,,,,,,SpiCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geneName,,,,,,,"Spice_3,Spice_4,Spice_5,Spice_6,Spice_2,Spice_1,Spice_7,Spice_8,Spice_9,Spice_10,Spice_11,Spice_12,Spice_13,Spice_14,Spice_15,Spice_16","LASC013595,tg_5,LASC013597,LASC013602,LASC013604,LASC013605,LASC013607,LASC013608,LASC013609,LASC013610,nid2,cd74_2",LASC004266,rpl34,"LASC001730,LASC001731,LASC001732,LASC001733",cpib,sp-1339#prd34368.1_4,LASC018595,LASC012976,spa,LASC013229,LASC010016,LASC018762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product,,,,,,,hypothetical protein,"hypothetical protein,Thyroglobulin,Nidogen-2,H-2 class II histocompatibility antigen gamma chain","hypothetical, protein",60S ribosomal protein L34,hypothetical protein,Cystatin-A2,Sp-1339#PRD34368.1 protein,hypothetical protein,hypothetical protein,"hypothetical protein,Immunoglobulin G-binding protein A",hypothetical protein,hypothetical protein,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lascID,,,,,,,"LASC001444,LASC001445,LASC001446,LASC001447,LASC006055,LASC006056,LASC006058,LASC007774,LASC007775,LASC007913,LASC007919,LASC007920,LASC007921,LASC007923,LASC014000,LASC014001","LASC013595,LASC013596,LASC013597,LASC013602,LASC013604,LASC013605,LASC013607,LASC013608,LASC013609,LASC013610,LASC013611,LASC013612",LASC004266,LASC001629,"LASC001730,LASC001731,LASC001732,LASC001733",LASC010562,LASC010015,LASC018595,LASC012976,LASC020240,LASC013229,LASC010016,LASC018762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,101-W7_S13,101.0,DRR296821,pilipes,Nephila,Araneidae,14.78855212417899,7.71288943418917,0.0,9.60584431266026,0.0,9.941839917040246,0.0,0.0,7.635747137161369,0.0,0.0,0.0,0.0,Araneidae,Nephila,pilipes,299642.0,urn:lsid:nmbe.ch:spidersp:013960,Unknown,Female,2014-12-08,Japan,,0.292,0.04,7.0,2.5,1.72,0.33,41.8,6.8,,,,26.0,39.6,10.4,2.75,0.09,,,
1,1345-W1_S7,1345.0,DRR296993,sia,Yaginumia,Araneidae,9.123386358521433,7.733693076554649,0.0,10.009156789171302,3.476672012072091,9.81189804719034,9.264001044520574,2.179683016914338,0.0,0.0,7.650016311653112,1.4377763701407316,0.0,Araneidae,Yaginumia,sia,1112568.0,urn:lsid:nmbe.ch:spidersp:017156,Unknown,Female,2015-06-15,Japan,8.0,0.116,0.041,8.79,3.9,0.96,0.23,19.7,3.5,,,,15.0,65.0,10.3,1.19,0.08,,,
3,1793-W1_S4,1793.0,DRR297051,akirai,Cyrtarachne,Araneidae,9.290897033380784,12.711043606696311,0.0,9.393117982242629,3.568778804213228,8.910079752232303,7.4564825577026825,4.561387851440172,0.0,0.0,0.0,0.0,0.0,Araneidae,Cyrtarachne,akirai,1463313.0,urn:lsid:nmbe.ch:spidersp:046730,Unknown,Female,2015-07-21,Japan,8.0,0.104,0.027,12.1,2.8,0.94,0.09,17.3,4.5,233.0,277.0,295.0,16.0,31.9,14.8,3.21,0.89,5.7,,
4,1894-W1_S12,1894.0,DRR296495,ishisawai,Araneus,Araneidae,8.990852637521968,9.589557691301689,4.5617599185352855,0.0,6.595888510847156,9.071792160341454,8.685492739925115,4.800691308661603,10.934656951702896,8.19254256405502,7.642568009514743,4.490974387804137,10.300261030380156,Araneidae,Araneus,ishisawai,1112384.0,urn:lsid:nmbe.ch:spidersp:014949,Unknown,Female,2015-08-26,Japan,15.0,0.05,0.018,9.6,2.56,0.63,0.12,12.1,2.7,226.0,288.0,303.0,20.0,41.8,5.2,2.3,0.21,5.8,47.8,4.8
5,1974-W1_S8,1974.0,DRR297664,marmoreus,Araneus,Araneidae,7.669780169922322,13.050452364481094,10.26773966920659,9.046506560198761,4.271274764928605,8.42660441906967,7.85196761501558,5.0526966324014895,9.599321513513566,7.413072744238769,4.6863610132278986,4.755244979075653,9.761760640719537,Araneidae,Araneus,marmoreus,336584.0,urn:lsid:nmbe.ch:spidersp:015005,Unknown,Female,2015-08-28,Japan,21.0,0.023,0.011,6.99,1.2,0.5,0.17,8.1,1.4,243.0,285.0,304.0,21.0,48.4,15.1,2.07,0.43,5.8,,
7,2057-W1_S19,2057.0,DRR297669,multipuncta,Herennia,Araneidae,12.007913925851204,0.0,0.0,9.273839881581141,4.303408156032323,7.517740241812006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Araneidae,Herennia,multipuncta,941795.0,urn:lsid:nmbe.ch:spidersp:039408,Unknown,Female,2015-09-07,Malaysia,,0.117,0.059,12.1,3.9,1.27,0.47,15.4,4.3,214.0,271.0,296.0,20.0,50.8,15.0,2.14,0.36,4.9,40.7,1.7
8,2059-W1_S13,2059.0,DRR297832,dehaani,Parawixia,Araneidae,7.9852786353259155,13.662215737937396,0.0,0.0,6.179521002603635,6.7230123963923685,7.498481456879342,3.9879711146731203,8.091065077930535,0.0,8.964981490092821,0.0,0.0,Araneidae,Parawixia,dehaani,2337571.0,urn:lsid:nmbe.ch:spidersp:016893,Unknown,Unknown,2015-09-07,Malaysia,,0.09,0.055,8.0,3.8,0.94,0.44,18.3,5.8,228.0,279.0,309.0,18.0,38.0,15.5,3.33,0.63,9.0,50.4,7.9
9,2156-W1_S9,2156.0,DRR297651,malabarensis,Nephilengys,Araneidae,14.388029857731652,0.0,0.0,9.337403362853875,4.4382662333439065,8.675276089520965,0.0,0.0,6.532767341560478,0.0,0.0,0.0,0.0,Araneidae,Nephilengys,malabarensis,593433.0,urn:lsid:nmbe.ch:spidersp:013993,Unknown,Unknown,2015-09-08,Malaysia,,0.109,0.025,12.3,3.3,1.12,0.11,17.6,4.7,219.0,287.0,309.0,23.0,49.5,22.8,1.57,0.32,2.9,23.9,7.5
10,2158-W1_S10,2158.0,DRR297122,-,Argiope,Araneidae,3.971745861938429,11.201591823197363,0.0,10.904484097901424,8.53619249910528,8.89422662218784,0.0,5.940106809253096,8.350435365455006,0.0,0.0,4.796164392497094,0.0,Araneidae,Argiope,sp. (OTU1080),2337307.0,,Unknown,Female,2015-09-08,Malaysia,,0.082,0.025,9.51,2.11,1.02,0.15,16.3,3.2,222.0,275.0,296.0,30.0,37.1,1.5,4.26,0.07,8.1,60.4,3.1
11,2174-W1_S20,2174.0,DRR296744,moluccensis,Cyrtophora,Araneidae,1.9741658397060038,5.216986368143363,10.828244563239474,8.224093347558938,5.509258787337399,7.281772422744325,0.0,6.236978537256836,9.313540637996793,1.8616020888215339,0.0,4.706613431910097,0.0,Araneidae,Cyrtophora,moluccensis,299645.0,urn:lsid:nmbe.ch:spidersp:015827,Unknown,Female,2015-09-08,Malaysia,,0.1,0.063,10.9,1.3,0.66,0.15,21.8,9.7,243.0,290.0,311.0,17.0,40.2,6.4,2.18,0.15,7.1,12.3,3.4
12,2214-W1_S13,2214.0,DRR296943,nautica,Neoscona,Araneidae,7.05594104356676,13.206289490532068,4.864906197926132,0.0,3.8910108191382364,7.6433295099598855,9.299503580293571,5.05682713598691,0.0,8.364270993098561,5.614650074082555,2.6554525847477763,8.171111731013548,Araneidae,Neoscona,nautica,258338.0,urn:lsid:nmbe.ch:spidersp:016729,Unknown,Female,2015-09-13,Japan,11.0,0.203,0.032,9.4,2.73,1.34,0.17,29.2,2.1,205.0,261.0,289.0,28.0,41.3,5.6,1.18,0.04,5.2,,
13,2566-W1_S4,2566.0,DRR297813,theisi,Neoscona,Araneidae,6.628589164534547,12.491255443835168,3.7096964744880485,0.0,4.23731896557455,0.0,10.501056127259012,6.510910190139645,0.0,9.270806896027342,4.5280230155791275,4.010098604164981,6.5344273982984165,Araneidae,Neoscona,theisi,1112448.0,urn:lsid:nmbe.ch:spidersp:016763,Unknown,Female,2015-10-14,Japan,7.0,0.076,0.073,6.68,1.2,0.76,0.25,16.0,3.7,197.0,263.0,298.0,18.0,36.8,5.8,1.19,0.06,5.1,,
15,2658-W1_S21,2658.0,DRR297180,columnaris,Poltys,Araneidae,6.240414055044073,12.173843130364753,9.143134046311514,8.124079943636353,4.771333108539887,7.32288356388778,0.0,3.615481038162746,0.0,4.816809593667966,7.716179698981828,6.1780931367381005,0.0,Araneidae,Poltys,columnaris,2337615.0,urn:lsid:nmbe.ch:spidersp:016947,Unknown,Female,2015-10-20,Japan,6.0,0.292,0.02,19.1,5.6,2.4,0.05,20.9,1.1,247.0,292.0,314.0,27.0,58.8,6.4,3.6,0.13,7.8,41.9,10.1
16,2664-W1_S15,2664.0,DRR297356,ikomosanensis,Cyrtophora,Araneidae,3.0578037541474474,8.551951682655988,11.745140671820435,8.278458750912234,6.85314546875565,8.071928883656934,0.0,6.554696282414694,0.0,0.0,0.0,7.41554742438997,0.0,Araneidae,Cyrtophora,ikomosanensis,891969.0,urn:lsid:nmbe.ch:spidersp:043614,Unknown,Female,2015-10-21,Japan,19.0,0.198,0.043,16.6,5.3,1.18,0.27,25.0,4.0,259.0,291.0,307.0,15.0,28.4,3.9,2.07,0.16,3.6,10.6,1.2
20,30-W22_S17,30.0,DRR296742,brevispina,Thelacantha,Araneidae,6.79062452934705,11.68907743573049,0.0,8.676320306490426,0.0,8.632500889484517,0.0,2.757147022724786,6.0935052458888475,0.0,0.0,0.0,0.0,Araneidae,Thelacantha,brevispina,1508453.0,urn:lsid:nmbe.ch:spidersp:017085,Unknown,Female,2014-12-08,Japan,,0.09,0.013,3.15,0.7,0.52,0.08,36.1,7.5,,,,,18.7,2.8,4.63,0.48,,,
21,316-W1_S6,316.0,DRR296524,pinguis,Araneus,Araneidae,7.79997116532919,10.378707078284554,8.411592590128567,7.595123184257416,5.485973852662581,9.465772489380978,0.0,5.592995144378403,8.686787636945944,6.447989070000119,6.068887886405682,3.4119630887225845,0.0,Araneidae,Araneus,pinguis,2337295.0,urn:lsid:nmbe.ch:spidersp:015114,Unknown,Female,2014-10-09,Japan,,0.121,0.036,4.2,0.7,0.99,0.47,53.2,3.7,227.0,286.0,306.0,23.0,38.1,11.3,2.54,0.25,7.7,,
22,324-W1_S3,324.0,DRR296820,yaginumai,Araniella,Araneidae,8.267627040401289,8.170825252750742,10.087101644916602,9.350987786073617,7.426027613185277,0.0,10.194958875438298,3.3109319113988946,10.833562166106827,0.0,2.0876732896475003,5.15832167582771,0.0,Araneidae,Araniella,yaginumai,1112389.0,urn:lsid:nmbe.ch:spidersp:038307,Unknown,Unknown,2014-10-09,Japan,,0.161,0.078,11.6,3.8,1.2,0.49,24.5,3.6,,,,,51.5,12.7,1.2,0.08,,,
23,327-W1_S13,327.0,DRR297052,mellotteei,Neoscona,Araneidae,4.541166637613532,11.307001243400267,0.0,0.0,3.5613542445968216,0.0,7.683640317220538,3.504289869337235,0.0,7.464613544176811,6.023071232789977,4.668546354281219,0.0,Araneidae,Neoscona,mellotteei,1968900.0,urn:lsid:nmbe.ch:spidersp:016721,Unknown,Unknown,2014-10-09,Japan,,0.134,0.06,5.21,2.1,0.87,0.25,27.4,11.2,,,,,41.5,6.8,1.23,0.06,,,
