Orthogroup,ID,idv_id,DRR,species_x,Genus,Family,MaSp2,MaSp3,MaSp2B,MaSp3B,AcSp,AgSp1,AgSp2,PySp,CySp,Flag,Spidroin,sp.,family,genus,species_y,ncbi_tax_id,wsc_lsid,type_of_web,sex,sampled_at,country,size,toughness,toughness_sd,young's_modulus,young's_modulus_sd,tensile_strength,tensile_strength_sd,strain_at_break,strain_at_break_sd,one_percent_weightloss,five_percent_weightloss,ten_percent_weightloss,crystallinity,birefringence,birefringence_sd,diameter,diameter_sd,water_content,supercontraction,supercontraction_sd
Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geneName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lascID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,101-W7_S13,101.0,DRR296821,pilipes,Nephila,Araneidae,10.761444164044846,6.22881869049588,6.502760023479973,6.189824558880018,17.690335018939628,18.41055469833692,12.95758288214568,17.834720296278054,16.70230803268916,8.543031936289687,8.134326519238073,9.794748515910218,Araneidae,Nephila,pilipes,299642.0,urn:lsid:nmbe.ch:spidersp:013960,Unknown,Female,2014-12-08,Japan,,0.292,0.04,7.0,2.5,1.72,0.33,41.8,6.8,,,,26.0,39.6,10.4,2.75,0.09,,,
1,1345-W1_S7,1345.0,DRR296993,sia,Yaginumia,Araneidae,14.133827003874293,6.8578932741148595,7.721099188707185,6.5467809994194175,16.1278717013127,12.163335541197135,10.928522513099713,16.1425066258982,8.550746789538206,13.453588085372706,12.73987810623783,12.275560904261397,Araneidae,Yaginumia,sia,1112568.0,urn:lsid:nmbe.ch:spidersp:017156,Unknown,Female,2015-06-15,Japan,8.0,0.116,0.041,8.79,3.9,0.96,0.23,19.7,3.5,,,,15.0,65.0,10.3,1.19,0.08,,,
3,1793-W1_S4,1793.0,DRR297051,akirai,Cyrtarachne,Araneidae,18.00243185311558,8.146670061219924,8.539158811108031,7.509315999096762,15.690515205377043,17.00756682840067,14.567904588376868,16.687102773833402,19.864134913022014,19.284771969316523,14.093827024663698,13.822414861242796,Araneidae,Cyrtarachne,akirai,1463313.0,urn:lsid:nmbe.ch:spidersp:046730,Unknown,Female,2015-07-21,Japan,8.0,0.104,0.027,12.1,2.8,0.94,0.09,17.3,4.5,233.0,277.0,295.0,16.0,31.9,14.8,3.21,0.89,5.7,,
4,1894-W1_S12,1894.0,DRR296495,ishisawai,Araneus,Araneidae,16.95139655805932,12.675248278235463,10.220934897446723,6.459431618637297,18.485689960306853,16.971105614548694,13.925825346765551,18.04564797099125,20.622235162543998,17.440460332205355,10.918290628579848,14.197791362732668,Araneidae,Araneus,ishisawai,1112384.0,urn:lsid:nmbe.ch:spidersp:014949,Unknown,Female,2015-08-26,Japan,15.0,0.05,0.018,9.6,2.56,0.63,0.12,12.1,2.7,226.0,288.0,303.0,20.0,41.8,5.2,2.3,0.21,5.8,47.8,4.8
5,1974-W1_S8,1974.0,DRR297664,marmoreus,Araneus,Araneidae,16.132155993235898,12.890342639073669,10.4561092367484,6.5948306715527005,14.897904538997755,13.96793334040218,12.674289318105155,16.956247161944475,17.697270634133115,11.866389060462819,12.85418313510608,13.338418096834285,Araneidae,Araneus,marmoreus,336584.0,urn:lsid:nmbe.ch:spidersp:015005,Unknown,Female,2015-08-28,Japan,21.0,0.023,0.011,6.99,1.2,0.5,0.17,8.1,1.4,243.0,285.0,304.0,21.0,48.4,15.1,2.07,0.43,5.8,,
6,2015-W1_S8,2015.0,DRR297257,-,Orsinome,Tetragnathidae,10.448487530602916,6.022367813028454,8.312899244898011,6.022367813028454,6.3869676551922625,2.8091905518758864,9.594324799892465,4.857980995127572,8.335389014728868,10.161965338483162,6.754883227505163,17.737584459323596,Tetragnathidae,Orsinome,sp. (OTU0736),2337535.0,,Unknown,Female,2015-09-07,Malaysia,,0.086,0.025,7.64,2.6,0.94,0.1,18.2,2.6,,,,24.0,53.2,19.8,1.0,0.12,,,
7,2057-W1_S19,2057.0,DRR297669,multipuncta,Herennia,Araneidae,18.057554122127232,15.971454827587975,7.80111318305758,15.97127517459975,16.283377793988425,17.13028104550728,13.892163309861965,13.595956196320163,16.00261832778293,11.679649048563784,8.67885085524386,12.830110596992197,Araneidae,Herennia,multipuncta,941795.0,urn:lsid:nmbe.ch:spidersp:039408,Unknown,Female,2015-09-07,Malaysia,,0.117,0.059,12.1,3.9,1.27,0.47,15.4,4.3,214.0,271.0,296.0,20.0,50.8,15.0,2.14,0.36,4.9,40.7,1.7
8,2059-W1_S13,2059.0,DRR297832,dehaani,Parawixia,Araneidae,16.996066717511596,12.010178404020541,8.46054169776413,6.727920454563199,16.977770038335947,18.062109096743598,14.277670401996508,14.040207252557225,15.108241983698495,18.304981029267836,12.750452104370673,14.778856723730232,Araneidae,Parawixia,dehaani,2337571.0,urn:lsid:nmbe.ch:spidersp:016893,Unknown,Unknown,2015-09-07,Malaysia,,0.09,0.055,8.0,3.8,0.94,0.44,18.3,5.8,228.0,279.0,309.0,18.0,38.0,15.5,3.33,0.63,9.0,50.4,7.9
9,2156-W1_S9,2156.0,DRR297651,malabarensis,Nephilengys,Araneidae,17.086510471873904,15.678618724948072,7.066089190457772,15.677070059097506,15.46983257446691,16.896833111975027,13.155799217714211,13.926574000942129,3.0,15.02929520817464,11.490676574335774,13.35524837069323,Araneidae,Nephilengys,malabarensis,593433.0,urn:lsid:nmbe.ch:spidersp:013993,Unknown,Unknown,2015-09-08,Malaysia,,0.109,0.025,12.3,3.3,1.12,0.11,17.6,4.7,219.0,287.0,309.0,23.0,49.5,22.8,1.57,0.32,2.9,23.9,7.5
10,2158-W1_S10,2158.0,DRR297122,-,Argiope,Araneidae,15.045349958063875,5.169925001442312,6.965784284662087,5.129283016944966,16.110664132095177,11.894858230336293,7.442943495848728,8.086096513868426,15.678462339848329,10.61765232413523,11.257712964690237,19.253065821951555,Araneidae,Argiope,sp. (OTU1080),2337307.0,,Unknown,Female,2015-09-08,Malaysia,,0.082,0.025,9.51,2.11,1.02,0.15,16.3,3.2,222.0,275.0,296.0,30.0,37.1,1.5,4.26,0.07,8.1,60.4,3.1
11,2174-W1_S20,2174.0,DRR296744,moluccensis,Cyrtophora,Araneidae,19.219364767649832,6.794415866350106,12.465636359538731,6.409390936137702,17.945197932022285,7.554588851677638,6.768184324776926,14.786509274027551,17.279741020996934,8.974415657628917,10.32170447109666,17.198757501048743,Araneidae,Cyrtophora,moluccensis,299645.0,urn:lsid:nmbe.ch:spidersp:015827,Unknown,Female,2015-09-08,Malaysia,,0.1,0.063,10.9,1.3,0.66,0.15,21.8,9.7,243.0,290.0,311.0,17.0,40.2,6.4,2.18,0.15,7.1,12.3,3.4
12,2214-W1_S13,2214.0,DRR296943,nautica,Neoscona,Araneidae,19.16068898544064,14.138366489128256,8.224001674198105,6.189824558880018,15.873553723358759,14.988055480009468,14.5432108467107,16.277689168827354,16.964678051248477,19.122039996607278,13.72728940970005,14.136256499194989,Araneidae,Neoscona,nautica,258338.0,urn:lsid:nmbe.ch:spidersp:016729,Unknown,Female,2015-09-13,Japan,11.0,0.203,0.032,9.4,2.73,1.34,0.17,29.2,2.1,205.0,261.0,289.0,28.0,41.3,5.6,1.18,0.04,5.2,,
13,2566-W1_S4,2566.0,DRR297813,theisi,Neoscona,Araneidae,16.24427908608458,13.154792483270233,7.169925001442312,5.930737337562887,17.361916681669793,15.766670315211252,12.194979274201016,14.42841926126789,17.129021646482443,16.96467620043393,14.987525237400401,14.60213981182111,Araneidae,Neoscona,theisi,1112448.0,urn:lsid:nmbe.ch:spidersp:016763,Unknown,Female,2015-10-14,Japan,7.0,0.076,0.073,6.68,1.2,0.76,0.25,16.0,3.7,197.0,263.0,298.0,18.0,36.8,5.8,1.19,0.06,5.1,,
14,2590-W1_S5,2590.0,DRR297063,reticuloides,Meta,Tetragnathidae,14.815619813083146,5.64620987238312,7.442943495848728,5.462105960656977,4.523561956057013,15.135787549786746,11.291746280833939,12.447342598634437,16.70282155708025,16.774530210476257,11.782396905618091,13.664308761246824,Tetragnathidae,Zhinu,reticuloides,2337810.0,urn:lsid:nmbe.ch:spidersp:013894,Unknown,Female,2015-10-14,Japan,6.0,0.064,0.01,10.0,1.5,0.86,0.16,16.2,1.5,199.0,257.0,289.0,26.0,52.9,11.2,0.92,0.03,4.7,,
15,2658-W1_S21,2658.0,DRR297180,columnaris,Poltys,Araneidae,18.387091852213445,8.019856837962774,9.083630902073825,7.672425341971495,5.044394119358453,16.45428211489782,13.401083923451429,16.669757767900602,16.512273518007486,17.863115261259427,13.139416621673892,16.57341848685647,Araneidae,Poltys,columnaris,2337615.0,urn:lsid:nmbe.ch:spidersp:016947,Unknown,Female,2015-10-20,Japan,6.0,0.292,0.02,19.1,5.6,2.4,0.05,20.9,1.1,247.0,292.0,314.0,27.0,58.8,6.4,3.6,0.13,7.8,41.9,10.1
16,2664-W1_S15,2664.0,DRR297356,ikomosanensis,Cyrtophora,Araneidae,18.782839147060386,6.672425341971495,8.447687502053281,6.426264754702098,19.15453917023899,7.272732408580301,6.569855760193576,16.19107352276243,20.09396595817379,8.913631809829171,11.181304954712088,16.358754644452866,Araneidae,Cyrtophora,ikomosanensis,891969.0,urn:lsid:nmbe.ch:spidersp:043614,Unknown,Female,2015-10-21,Japan,19.0,0.198,0.043,16.6,5.3,1.18,0.27,25.0,4.0,259.0,291.0,307.0,15.0,28.4,3.9,2.07,0.16,3.6,10.6,1.2
17,2674-W1_S16,2674.0,DRR296692,praedonia,Tetragnatha,Tetragnathidae,16.808645207731974,7.266787009102306,7.531381460516312,6.149747119504682,12.215835864361592,17.382826543983512,14.300068252754517,7.0552826090584775,14.913123213170973,16.391895262592822,13.850934685263672,14.057152936237589,Tetragnathidae,Tetragnatha,praedonia,1112494.0,urn:lsid:nmbe.ch:spidersp:014321,Unknown,Female,2015-10-21,Japan,12.0,0.079,0.013,6.36,2.0,0.67,0.01,21.3,5.8,,,,,35.4,14.9,0.87,0.08,,,
